"TOA5","4175","CR6","4175","CR6.14.5.0 CR6-WIFI.05.03","CPU:single_polled_ARPA_1.05.CR6","28493","Sonic"
"TIMESTAMP","RECORD","u_1","v_1","w_1","Ts_1","SS_1","ChkSumF_1"
"TS","RN","m/s","m/s","m/s","C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-03-26 03:00:05.95",21740072,-6.731,9.818,-0.707,7.33,"00",-1
"2026-03-26 03:00:06",21740073,-6.123,9.507,0.012,7.5,"00",-1
"2026-03-26 03:00:06.05",21740074,-6.72,9.92,0.198,7.53,"00",-1
"2026-03-26 03:00:06.1",21740075,-6.416,11.041,0.908,7.6,"00",-1
"2026-03-26 03:00:06.15",21740076,-5.566,10.851,0.802,7.42,"00",-1
"2026-03-26 03:00:06.2",21740077,-5.131,10.926,1.035,7.58,"00",-1
"2026-03-26 03:00:06.25",21740078,-5.546,11.423,1.499,7.67,"00",-1
"2026-03-26 03:00:06.3",21740079,-8.557,10.159,-0.221,7.48,"00",-1
"2026-03-26 03:00:06.35",21740080,-8.411,10.145,-0.114,7.57,"00",-1
"2026-03-26 03:00:06.4",21740081,-8.193,9.517,0.113,7.5,"00",-1
"2026-03-26 03:00:06.45",21740082,-6.777,10.191,-0.471,7.4,"00",-1
"2026-03-26 03:00:06.5",21740083,-6.716,8.976,-0.134,7.37,"00",-1
"2026-03-26 03:00:06.55",21740084,-7.887,9.4,-0.482,7.53,"00",-1
"2026-03-26 03:00:06.6",21740085,-8.069,9.85,-0.538,7.25,"00",-1
"2026-03-26 03:00:06.65",21740086,-8.95,9.982,-0.627,7.75,"00",-1
"2026-03-26 03:00:06.7",21740087,-8.592,10.25,-0.887,7.4,"00",-1
"2026-03-26 03:00:06.75",21740088,-9.372,8.173,-1.835,7.77,"00",-1
"2026-03-26 03:00:06.8",21740089,-7.067,11.171,-1.417,7.5,"00",-1
"2026-03-26 03:00:06.85",21740090,-7.214,9.857,-1.596,7.78,"00",-1
"2026-03-26 03:00:06.9",21740091,-9.009,8.469,0.652,7.48,"00",-1
"2026-03-26 03:00:06.95",21740092,-10.18,8.808,1.996,7.67,"00",-1
"2026-03-26 03:00:07",21740093,-7.191,7.946,1.822,7.43,"00",-1
"2026-03-26 03:00:07.05",21740094,-6.56,8.388,2.115,7.45,"00",-1
"2026-03-26 03:00:07.1",21740095,-6.857,10.45,1.367,7.25,"00",-1
"2026-03-26 03:00:07.15",21740096,-8.721,8.162,-1.083,7.73,"00",-1
"2026-03-26 03:00:07.2",21740097,-10.62,11.171,-2.587,8.25,"00",-1
"2026-03-26 03:00:07.25",21740098,-9.196,8.56,-1.706,7.88,"00",-1
"2026-03-26 03:00:07.3",21740099,-8.217,11.857,0.52,7.68,"00",-1
"2026-03-26 03:00:07.35",21740100,-9.444,11.123,2.293,7.57,"00",-1
"2026-03-26 03:00:07.4",21740101,-8.953,12.334,1.489,7.57,"00",-1
"2026-03-26 03:00:07.45",21740102,-8.922,12.127,0.258,7.93,"00",-1
"2026-03-26 03:00:07.5",21740103,-9.303,10.369,0.747,7.77,"00",-1
"2026-03-26 03:00:07.55",21740104,-7.531,11.008,1.546,7.6,"00",-1
"2026-03-26 03:00:07.6",21740105,-7.217,8.558,0.221,7.4,"00",-1
"2026-03-26 03:00:07.65",21740106,-8.906,10.472,0.123,7.55,"00",-1
"2026-03-26 03:00:07.7",21740107,-9.779,11.556,0.177,7.7,"00",-1
"2026-03-26 03:00:07.75",21740108,-11.06,10.335,0.806,7.68,"00",-1
"2026-03-26 03:00:07.8",21740109,-10.865,9.698,0.88,7.75,"00",-1
"2026-03-26 03:00:07.85",21740110,-12.347,7.715,-0.127,7.25,"00",-1
"2026-03-26 03:00:07.9",21740111,-13.343,9.804,-1.516,7.8,"00",-1
"2026-03-26 03:00:07.95",21740112,-12.766,12.262,-1.339,7.78,"00",-1
"2026-03-26 03:00:08",21740113,-12.916,10.756,-1.032,8.12,"00",-1
"2026-03-26 03:00:08.05",21740114,-12.504,11.577,0.375,7.58,"00",-1
"2026-03-26 03:00:08.1",21740115,-12.246,11.53,0.959,7.8,"00",-1
"2026-03-26 03:00:08.15",21740116,-9.043,9.418,4.209,7.55,"0B",-1
"2026-03-26 03:00:08.2",21740117,-11.259,9.38,5.056,7.62,"00",-1
"2026-03-26 03:00:08.25",21740118,-10.991,8.137,0.264,7.47,"00",-1
"2026-03-26 03:00:08.3",21740119,-10.209,9.778,1.273,7.33,"00",-1
"2026-03-26 03:00:08.35",21740120,-11.592,9.13,0.405,7.7,"00",-1
"2026-03-26 03:00:08.4",21740121,-11.158,10.463,-0.19,7.57,"00",-1
"2026-03-26 03:00:08.45",21740122,-11.077,10.635,0.483,7.5,"00",-1
"2026-03-26 03:00:08.5",21740123,-10.073,10.804,0.699,7.47,"00",-1
"2026-03-26 03:00:08.55",21740124,-10.192,10.356,0.71,7.62,"00",-1
"2026-03-26 03:00:08.6",21740125,-9.671,9.99,0.163,7.62,"00",-1
"2026-03-26 03:00:08.65",21740126,-9.078,9.207,-0.138,7.65,"00",-1
"2026-03-26 03:00:08.7",21740127,-9.259,10.251,-0.186,7.48,"00",-1
"2026-03-26 03:00:08.75",21740128,-9.77,10.858,1.164,7.42,"00",-1
"2026-03-26 03:00:08.8",21740129,-8.982,10.486,0.588,7.55,"00",-1
"2026-03-26 03:00:08.85",21740130,-8.59,10.498,0.141,7.62,"00",-1
"2026-03-26 03:00:08.9",21740131,-7.911,10.662,-0.235,7.55,"00",-1
"2026-03-26 03:00:08.95",21740132,-7.8,11.135,-1.97,7.63,"00",-1
"2026-03-26 03:00:09",21740133,-6.745,9.829,-0.697,7.57,"00",-1
"2026-03-26 03:00:09.05",21740134,-7.208,10.989,0.648,7.58,"00",-1
"2026-03-26 03:00:09.1",21740135,-7.225,10.885,-1.316,7.43,"00",-1
"2026-03-26 03:00:09.15",21740136,-7.881,10.937,-2.059,7.5,"00",-1
"2026-03-26 03:00:09.2",21740137,-6.385,10.823,-0.978,7.52,"00",-1
"2026-03-26 03:00:09.25",21740138,-5.271,11.022,-1.729,7.55,"00",-1
"2026-03-26 03:00:09.3",21740139,-6.431,10.122,-0.148,7.22,"00",-1
"2026-03-26 03:00:09.35",21740140,-6.421,9.997,-0.203,7.38,"00",-1
"2026-03-26 03:00:09.4",21740141,-6.907,9.916,-0.24,7.23,"00",-1
"2026-03-26 03:00:09.45",21740142,-6.666,9.998,-0.314,7.53,"00",-1
"2026-03-26 03:00:09.5",21740143,-6.394,10.329,1.901,7.25,"00",-1
"2026-03-26 03:00:09.55",21740144,-6.234,9.224,0.783,7.03,"00",-1
"2026-03-26 03:00:09.6",21740145,-6.236,9.396,1.01,7.15,"00",-1
"2026-03-26 03:00:09.65",21740146,-7.687,9.024,0.418,7.4,"00",-1
"2026-03-26 03:00:09.7",21740147,-7.789,9.335,-0.789,7.22,"00",-1
"2026-03-26 03:00:09.75",21740148,-8.099,8.791,0.343,7.47,"00",-1
"2026-03-26 03:00:09.8",21740149,-7.593,8.053,-0.27,7.2,"00",-1
"2026-03-26 03:00:09.85",21740150,-7.232,8.436,-0.048,7.23,"00",-1
"2026-03-26 03:00:09.9",21740151,-8.148,8.918,0.334,7.15,"00",-1
"2026-03-26 03:00:09.95",21740152,-8.054,6.99,-0.65,7.48,"00",-1
"2026-03-26 03:00:10",21740153,-7.552,7.886,-1.151,7.23,"00",-1
"2026-03-26 03:00:10.05",21740154,-6.929,8.21,-0.848,6.98,"00",-1
"2026-03-26 03:00:10.1",21740155,-7.803,8.207,-1.203,6.97,"00",-1
"2026-03-26 03:00:10.15",21740156,-6.637,7.646,0.707,7.27,"00",-1
"2026-03-26 03:00:10.2",21740157,-6.715,8.833,0.175,7.15,"00",-1
"2026-03-26 03:00:10.25",21740158,-7.898,7.921,-0.241,7.2,"00",-1
"2026-03-26 03:00:10.3",21740159,-8.47,8.107,-1.673,7.32,"00",-1
"2026-03-26 03:00:10.35",21740160,-8.917,8.582,-0.761,7.6,"00",-1
"2026-03-26 03:00:10.4",21740161,-8.352,9.829,-1.241,7.72,"00",-1
"2026-03-26 03:00:10.45",21740162,-9.405,7.732,-0.016,7.02,"00",-1
"2026-03-26 03:00:10.5",21740163,-7.745,6.893,-0.017,7.05,"00",-1
"2026-03-26 03:00:10.55",21740164,-7.998,6.445,-2.42,7.17,"00",-1
"2026-03-26 03:00:10.6",21740165,-6.459,8.309,0.995,7.25,"00",-1
"2026-03-26 03:00:10.65",21740166,-5.287,8.481,-1.937,7.08,"00",-1
"2026-03-26 03:00:10.7",21740167,-3.247,9.463,-3.142,7.25,"00",-1
"2026-03-26 03:00:10.75",21740168,-4.661,10.762,-0.601,7.28,"00",-1
"2026-03-26 03:00:10.8",21740169,-1.824,9.89,2.106,7.23,"00",-1
"2026-03-26 03:00:10.85",21740170,-5.501,8.453,1.665,7,"00",-1
"2026-03-26 03:00:10.9",21740171,-6.664,8.529,3.641,6.65,"00",-1
"2026-03-26 03:00:10.95",21740172,-8.015,8.841,2.726,7.22,"00",-1
"2026-03-26 03:00:11",21740173,-8.382,8.902,2.079,7.62,"00",-1
"2026-03-26 03:00:11.05",21740174,-7.674,6.908,1.299,7.37,"00",-1
"2026-03-26 03:00:11.1",21740175,-7.351,8.436,3.285,7.32,"00",-1
"2026-03-26 03:00:11.15",21740176,-8.018,9.135,2.885,7.1,"00",-1
"2026-03-26 03:00:11.2",21740177,-7.938,9.254,2.585,7.52,"00",-1
"2026-03-26 03:00:11.25",21740178,-7.452,8.618,1.384,7.17,"00",-1
"2026-03-26 03:00:11.3",21740179,-6.884,9.733,1.946,7.45,"00",-1
"2026-03-26 03:00:11.35",21740180,-7.613,10.885,2.51,7.33,"00",-1
"2026-03-26 03:00:11.4",21740181,-7.607,9.636,1.523,7.17,"00",-1
"2026-03-26 03:00:11.45",21740182,-8.804,11.205,1.406,7.47,"00",-1
"2026-03-26 03:00:11.5",21740183,-7.034,11.347,2.133,7.52,"00",-1
"2026-03-26 03:00:11.55",21740184,-7.699,10.211,2.566,7.37,"00",-1
"2026-03-26 03:00:11.6",21740185,-8.541,10.267,1.849,7.43,"00",-1
"2026-03-26 03:00:11.65",21740186,-7.686,10.256,2.292,7.4,"00",-1
"2026-03-26 03:00:11.7",21740187,-7.214,9.666,1.543,7.43,"00",-1
"2026-03-26 03:00:11.75",21740188,-7.088,9.932,1.705,7.1,"00",-1
"2026-03-26 03:00:11.8",21740189,-7.84,10.337,1.587,7.37,"00",-1
"2026-03-26 03:00:11.85",21740190,-6.789,10.411,1.711,7.32,"00",-1
"2026-03-26 03:00:11.9",21740191,-6.395,10.365,1.767,7.67,"00",-1
"2026-03-26 03:00:11.95",21740192,-6.067,10.697,2.08,7.38,"00",-1
"2026-03-26 03:00:12",21740193,-6.322,10.643,2.398,7.33,"00",-1
"2026-03-26 03:00:12.05",21740194,-7.613,9.543,2.17,7.32,"00",-1
"2026-03-26 03:00:12.1",21740195,-7.026,10.873,1.657,7.52,"00",-1
"2026-03-26 03:00:12.15",21740196,-8.066,9.81,2.874,7.5,"00",-1
"2026-03-26 03:00:12.2",21740197,-6.708,10.883,2.275,7.3,"00",-1
"2026-03-26 03:00:12.25",21740198,-5.097,11.99,3.336,7.43,"00",-1
"2026-03-26 03:00:12.3",21740199,-5.068,12.73,0.848,7.62,"00",-1
"2026-03-26 03:00:12.35",21740200,-5.592,11.214,1.569,7.52,"00",-1
"2026-03-26 03:00:12.4",21740201,-4.822,9.842,0.658,7.22,"00",-1
"2026-03-26 03:00:12.45",21740202,-5.132,10.52,0.337,7.3,"00",-1
"2026-03-26 03:00:12.5",21740203,-5.537,10.432,0.014,7.22,"00",-1
"2026-03-26 03:00:12.55",21740204,-6.063,8.717,1.341,7.62,"00",-1
"2026-03-26 03:00:12.6",21740205,-6.323,8.936,1.23,7.17,"00",-1
"2026-03-26 03:00:12.65",21740206,-5.334,9.599,0.975,7.27,"00",-1
